2 10000 0 10 200 0
4 20000 0 10 200 0
6 20000 0 10 200 0
8 20000 0 10 200 0
10 20000 0 10 200 0
12 20000 0 100 1000 2000
14 22000 0 100 1000 2000
16 30000 0 100 1000 2000
18 1000000 1000 100 1000 2000
20 1000000 0 100 2000 50000
30 1000000 0 100 5000 100000
50 3000000 5000 1000 7000 100000
80 4000000 5000 1000 10000 200000
100 4000000 5000 1000 30000 200000
120 4000000 5000 1000 50000 400000
140 4000000 5000 1000 50000 400000
160 4000000 5000 1000 60000 500000
1000 4000000 5000 1000 60000 500000


